# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	5	215.187070735	95	18	Dendrite	213.989201538,
L1D1	6	197.513811551	58	29	Dendrite	213.191533907,
L1D1	21	345.251371933	34	35	ApicalDendrite	213.191533907,
L1D1	29	211.469245937	94	14	Dendrite	214.342717783,
L1D1_ongoing	3	311.163951538	24	42	ApicalDendrite	215.549498352,
L1D1_ongoing	4	246.147502303	84	83	Dendrite	130.013437733,
L1D1_ongoing	7	281.808969523	96	40	Dendrite	150.652996485,
L1D1_ongoing	20	354.587962475	24	64	ApicalDendrite	80.9280621051,
L1D1_ongoing	22	196.111627637	110	60	Dendrite	235.92072885,
L1D1_ongoing	24	177.736230165	77	53	Dendrite	107.928453002,137.332279046,
L1D1_ongoing	31	282.982372924	86	0	Dendrite	240.7587215,
L1D1_ongoing	36	173.099511536	58	23	Dendrite	57.7589296758,
L1D2_ongoing	3	266.336690884	24	19	ApicalDendrite	208.303032185,
L1D2_ongoing	5	262.234352036	96	32	Dendrite	236.457693806,
L1D2_ongoing	12	262.234352036	96	32	Dendrite	61.7851443282,
L1D2_ongoing	18	64.401442075	55	49	Dendrite	108.288912617,
L1D2_ongoing	24	35.5815340913	76	2	Dendrite	132.744152136,
L1D2_ongoing	29	187.901146946	94	3	Dendrite	119.361075278,
L1D2_ongoing	50	61.3187555756	98	0	Dendrite	190.702710319,
L1D2_ongoing	57	163.886740981	113	53	Dendrite	99.7566805031,
L1D2_ongoing	65	332.367917	85	15	Dendrite	179.06026393,
L1D2_ongoing	69	136.31798043	13	38	ApicalDendrite	141.628337882,
L1D2_ongoing	81	115.859227393	110	22	Dendrite	210.039084659,
L1D2_ongoing	84	160.389084982	110	47	Dendrite	247.90269653,
L1D2_ongoing	97	220.4288332	44	57	ApicalDendrite	34.9966387505,
L1D2_ongoing	111	83.9942927706	7	32	ApicalDendrite	202.818538253,
L1D2_ongoing	113	70.7797931274	14	16	ApicalDendrite	207.276234117,
L1D2_ongoing	115	97.0359225833	87	8	Dendrite	15.7491426402,
L1D2_ongoing	116	86.1336923303	87	4	Dendrite	169.657480984,
L1D2_ongoing	117	85.8570689541	81	25	Dendrite	246.212053183,
L1D2_ongoing	128	282.643515613	94	51	Dendrite	164.851143085,
L1D2_ongoing	136	263.593112097	94	43	Dendrite	113.388783557,
L1D2_ongoing	138	126.6885269	18	18	ApicalDendrite	231.962179419,
L1D2_ongoing	143	291.25787469	96	45	Dendrite	155.154954719,
L1D2_ongoing	145	183.165996017	45	51	ApicalDendrite	140.539050201,
L1D2_ongoing	147	179.843438655	45	50	ApicalDendrite	235.554322865,
L1D2_ongoing	151	206.900195489	45	60	ApicalDendrite	140.868521285,
L1D2_ongoing	165	327.582934032	85	13	Dendrite	96.3708424348,
L1D2_ongoing	177	94.1159262761	77	20	Dendrite	146.471883297,
L1D2_ongoing	187	202.828848566	44	52	ApicalDendrite	56.2125120939,
L1D2_ongoing	200	204.859849659	94	10	Dendrite	203.373739915,
L1D2_ongoing	210	210.068479726	94	13	Dendrite	163.521592968,
L1D2_ongoing	212	242.667676584	94	33	Dendrite	203.67918706,
L1D2_ongoing	222	219.817411716	94	19	Dendrite	236.790014768,
L1D2_ongoing	225	215.981160293	94	17	Dendrite	236.37361012,
L1D2_ongoing	226	212.816810045	96	17	Dendrite	127.290055685,
L1D2_ongoing	231	272.181507939	31	41	ApicalDendrite	107.033946207,
L1D2_ongoing	233	118.368178128	113	31	Dendrite	43.3739921683,
L1D2_ongoing	238	115.999680225	69	27	Dendrite	215.869542237,
L1D2_ongoing	248	286.285495399	86	2	Dendrite	10.69408926,
L1D2_ongoing	268	48.280205519	7	11	ApicalDendrite	159.709304417,
L1D2_ongoing	280	154.933877467	77	45	Dendrite	8.91972610383,
L1D2_ongoing	293	147.824915015	77	42	Dendrite	212.561932608,
L1D2_ongoing	294	87.3349065051	45	16	ApicalDendrite	53.6467609959,
L2D1	152	172.466067788	9	66	ApicalDendrite	222.716125109,
L2D1_ongoing	34	3.83008859315	61	1	Dendrite	102.302097627,
L2D1_ongoing	75	414.333208238	29	110	ApicalDendrite	120.356130594,
L2D1_ongoing	135	61.8883738937	123	12	Dendrite	149.740768885,
L2D1_ongoing	185	296.171350431	36	45	ApicalDendrite	235.240462441,
L2D1_ongoing	213	119.395713297	51	32	Dendrite	64.2728669772,
L2D1_ongoing	232	67.1848597515	103	21	Dendrite	170.270114262,
L2D2	23	124.008399548	13	32	ApicalDendrite	225.416523155,
L2D2	39	130.273702518	7	55	ApicalDendrite	263.847923122,
L2D2	68	130.273702518	7	55	ApicalDendrite	240.847646763,
