# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L1D1	11	312.888941435	85	8	Dendrite	216.534233354,
L1D1	19	247.526609185	96	28	Dendrite	216.293576933,
L1D1	33	286.285495399	86	2	Dendrite	216.534233354,
L1D1	35	146.408417734	59	38	Dendrite	216.534233354,
L1D1	41	293.430417292	85	2	Dendrite	215.032106465,
L1D1_ongoing	1	330.469511846	34	29	ApicalDendrite	43.9675083673,221.483752702,243.439208974,
L1D1_ongoing	4	246.147502303	84	83	Dendrite	111.712112023,203.914336801,
L1D1_ongoing	7	281.808969523	96	40	Dendrite	100.198473556,
L1D1_ongoing	11	312.888941435	85	8	Dendrite	118.634288825,
L1D1_ongoing	14	308.790201578	85	7	Dendrite	219.932762839,236.131737898,
L1D1_ongoing	33	286.285495399	86	2	Dendrite	222.212106623,
L1D1_ongoing	34	145.398590963	42	18	ApicalDendrite	137.096181841,
L1D1_ongoing	38	414.333208238	29	110	ApicalDendrite	174.91147843,
L1D1_ongoing	42	279.629535611	84	97	Dendrite	135.304904268,
L1D2_ongoing	0	267.110362227	24	20	ApicalDendrite	61.1010600787,
L1D2_ongoing	1	257.727229009	23	15	ApicalDendrite	35.2773740927,155.203271613,
L1D2_ongoing	3	266.336690884	24	19	ApicalDendrite	26.1772359705,
L1D2_ongoing	4	250.414676578	96	29	Dendrite	170.180756746,
L1D2_ongoing	6	264.375441408	96	33	Dendrite	1.35744830442,
L1D2_ongoing	8	255.131035451	96	30	Dendrite	37.9219269752,
L1D2_ongoing	15	377.43324482	23	75	ApicalDendrite	178.561423848,
L1D2_ongoing	16	371.430676504	23	71	ApicalDendrite	214.442927327,
L1D2_ongoing	18	64.401442075	55	49	Dendrite	110.545355403,181.602312323,
L1D2_ongoing	22	12.777788875	55	4	Dendrite	233.05548687,
L1D2_ongoing	23	42.3430293503	16	6	ApicalDendrite	200.078428826,
L1D2_ongoing	25	163.746748886	44	42	ApicalDendrite	192.550123396,
L1D2_ongoing	28	145.932503088	44	39	ApicalDendrite	233.621015637,
L1D2_ongoing	33	188.873378687	95	4	Dendrite	75.055905842,139.929024059,
L1D2_ongoing	35	190.450229983	95	5	Dendrite	45.8857597019,213.997090003,
L1D2_ongoing	47	88.0359075206	68	0	Dendrite	172.301356964,
L1D2_ongoing	51	70.4389846043	70	8	Dendrite	195.750706222,
L1D2_ongoing	54	88.0359075206	66	13	Dendrite	244.88155878,
L1D2_ongoing	55	116.845156417	91	29	Dendrite	115.383882575,
L1D2_ongoing	56	42.8617571811	108	3	Dendrite	150.057253463,
L1D2_ongoing	59	180.628272177	58	25	Dendrite	179.570690463,
L1D2_ongoing	62	343.99949933	86	19	Dendrite	180.525208098,
L1D2_ongoing	66	337.091201147	85	16	Dendrite	127.208582194,
L1D2_ongoing	73	195.757698825	14	111	ApicalDendrite	26.0858957227,
L1D2_ongoing	74	168.357813409	14	103	ApicalDendrite	137.019759641,
L1D2_ongoing	91	113.469952322	110	21	Dendrite	82.1901820434,
L1D2_ongoing	97	220.4288332	44	57	ApicalDendrite	126.593146224,
L1D2_ongoing	98	241.926059381	44	64	ApicalDendrite	29.951016215,
L1D2_ongoing	102	227.34907043	44	59	ApicalDendrite	68.246113178,216.552423429,
L1D2_ongoing	119	55.6031021426	104	10	Dendrite	164.132290547,224.584704912,
L1D2_ongoing	120	238.473470867	31	31	ApicalDendrite	122.251483139,
L1D2_ongoing	121	238.375732092	84	80	Dendrite	94.8810832158,187.116356784,
L1D2_ongoing	124	145.398590963	42	18	ApicalDendrite	172.7949409,
L1D2_ongoing	127	344.925474573	23	58	ApicalDendrite	7.6638378646,
L1D2_ongoing	129	266.564409171	94	45	Dendrite	182.266923016,
L1D2_ongoing	131	291.107653343	94	54	Dendrite	206.167574406,
L1D2_ongoing	133	269.779894602	94	47	Dendrite	213.740181152,
L1D2_ongoing	134	272.536424008	94	48	Dendrite	12.1675648522,
L1D2_ongoing	135	294.45361314	94	56	Dendrite	185.361887426,
L1D2_ongoing	136	263.593112097	94	43	Dendrite	135.654579678,
L1D2_ongoing	139	201.714084222	77	63	Dendrite	69.1329054181,
L1D2_ongoing	147	179.843438655	45	50	ApicalDendrite	13.2235506327,
L1D2_ongoing	153	165.419770396	45	45	ApicalDendrite	78.7834343069,
L1D2_ongoing	164	309.826477477	24	41	ApicalDendrite	0.242757988399,
L1D2_ongoing	167	213.644813847	58	34	Dendrite	2.18149972291,
L1D2_ongoing	173	215.187070735	95	18	Dendrite	162.280002319,
L1D2_ongoing	175	242.998553748	95	33	Dendrite	81.2044757623,
L1D2_ongoing	176	221.716176443	95	22	Dendrite	225.581073083,
L1D2_ongoing	194	339.030728909	34	32	ApicalDendrite	59.5478808736,
L1D2_ongoing	197	362.343142121	24	69	ApicalDendrite	117.931843753,
L1D2_ongoing	209	238.281874696	94	29	Dendrite	104.027872122,
L1D2_ongoing	222	219.817411716	94	19	Dendrite	97.653313378,
L1D2_ongoing	231	272.181507939	31	41	ApicalDendrite	31.9401200817,
L1D2_ongoing	233	118.368178128	113	31	Dendrite	181.970451144,
L1D2_ongoing	234	190.219921422	84	60	Dendrite	188.612936755,
L1D2_ongoing	235	121.241080518	104	41	Dendrite	217.612398967,
L1D2_ongoing	237	128.545485104	69	34	Dendrite	43.0674326136,
L1D2_ongoing	243	214.05244586	45	63	ApicalDendrite	68.3723512456,
L1D2_ongoing	255	146.408417734	59	38	Dendrite	135.540305454,
L1D2_ongoing	258	141.4262955	59	37	Dendrite	183.701792716,
L1D2_ongoing	261	164.430564666	59	42	Dendrite	188.894422842,
L1D2_ongoing	262	158.412755021	58	19	Dendrite	40.2183336,
L1D2_ongoing	264	146.88883886	57	11	Dendrite	232.340175627,
L1D2_ongoing	273	115.701068799	99	24	Dendrite	111.737254601,199.122124212,
L1D2_ongoing	279	188.286505298	77	57	Dendrite	217.518522191,
L1D2_ongoing	290	194.983326386	77	60	Dendrite	115.746109232,
L1D2_ongoing	293	147.824915015	77	42	Dendrite	175.378038526,
L1D2_ongoing	300	119.938901157	14	66	ApicalDendrite	16.4405409925,
L2D1_ongoing	6	36.6649568042	8	4	ApicalDendrite	35.106605883,
L2D1_ongoing	10	38.1168824047	3	8	ApicalDendrite	157.378026523,
L2D1_ongoing	17	40.2905948528	123	1	Dendrite	13.9013187995,
L2D1_ongoing	21	43.6689493962	50	3	Dendrite	147.345741894,
L2D1_ongoing	36	0.0	1	0	ApicalDendrite	111.614565833,
L2D1_ongoing	56	65.4040149569	88	5	Dendrite	193.576981891,
L2D1_ongoing	59	88.2234522913	88	17	Dendrite	35.0970566361,
L2D1_ongoing	72	94.7216427582	13	19	ApicalDendrite	229.777258595,
L2D1_ongoing	84	54.5543499803	7	16	ApicalDendrite	215.029782021,
L2D1_ongoing	105	78.254106884	4	2	ApicalDendrite	0.931787263813,
L2D1_ongoing	118	101.197232567	123	29	Dendrite	38.0246374794,
L2D1_ongoing	170	106.630043982	20	3	ApicalDendrite	71.1044867377,
L2D1_ongoing	177	284.806069475	36	37	ApicalDendrite	147.34586428,
L2D1_ongoing	271	363.507550346	29	93	ApicalDendrite	221.583273764,
L2D1_ongoing	291	103.0395156	74	23	Dendrite	201.124335713,
L2D2	60	114.460771405	81	40	Dendrite	243.777461884,
